"date","close","volume","open","high","low"
"16:00","39.70","10,528,894","42.50","42.75","39.10"
"2017/07/05","31.3000","245038.0000","32.2500","32.2500","31.2500"
"2017/07/03","32.3000","182984.0000","31.9500","32.5000","31.9500"
"2017/06/30","31.9000","497716.0000","31.8000","32.1000","31.3000"
"2017/06/29","31.6500","316875.0000","32.0500","32.2000","31.5000"
"2017/06/28","32.0000","253350.0000","32.1500","32.3000","31.8500"
"2017/06/27","32.0000","318865.0000","32.2000","32.7000","31.8500"
"2017/06/26","32.2500","264010.0000","31.9000","32.3000","31.4000"
"2017/06/23","31.8500","408758.0000","31.2500","31.9000","31.0000"
"2017/06/22","31.3500","204985.0000","30.9500","31.6500","30.9000"
"2017/06/21","30.9500","337579.0000","31.3500","31.6500","30.9500"
"2017/06/20","31.3000","308490.0000","31.9500","31.9500","31.2500"
"2017/06/19","31.8500","320372.0000","32.2000","32.2000","31.6000"
"2017/06/16","32.1500","814965.0000","31.1500","32.2000","31.0000"
"2017/06/15","32.0000","223881.0000","31.8500","32.1250","31.4500"
"2017/06/14","32.0500","257241.0000","32.2500","32.2500","31.7000"
"2017/06/13","32.2500","226371.0000","32.2500","32.3500","31.7000"
"2017/06/12","32.3000","346745.0000","32.3000","33.0000","32.2000"
"2017/06/09","32.2500","491682.0000","31.6500","33.2500","31.5000"
"2017/06/08","31.6500","430841.0000","31.3000","31.8500","30.9000"
"2017/06/07","31.1500","453644.0000","31.9500","32.0000","31.0000"
"2017/06/06","32.0000","475888.0000","32.2000","32.3750","31.3000"
"2017/06/05","32.4500","386076.0000","33.1500","33.1500","32.4000"
"2017/06/02","33.4500","292187.0000","33.6500","33.8500","33.2500"
"2017/06/01","33.5000","789711.0000","33.1500","33.6500","32.5000"
"2017/05/31","33.1500","916724.0000","34.8500","34.8500","33.0000"
"2017/05/30","34.7500","376463.0000","35.0500","35.2000","34.6000"
"2017/05/26","35.1000","325809.0000","35.1000","35.1500","34.6000"
"2017/05/25","35.1000","718606.0000","34.0000","35.4000","33.8500"
"2017/05/24","33.7500","534426.0000","34.3500","34.9500","33.7500"
"2017/05/23","34.4000","249069.0000","34.8500","34.9500","34.3500"
"2017/05/22","34.7000","287420.0000","34.4500","34.7500","34.3000"
"2017/05/19","34.5000","388650.0000","33.7000","34.5500","33.5500"
"2017/05/18","33.7000","283095.0000","33.5500","34.1500","33.5000"
"2017/05/17","33.6500","374881.0000","34.0500","34.2000","33.4000"
"2017/05/16","34.3000","451834.0000","35.2000","35.2000","34.3000"
"2017/05/15","35.1000","393272.0000","35.7500","36.1500","35.0750"
"2017/05/12","35.6500","348993.0000","36.2000","36.2000","35.6000"
"2017/05/11","36.2000","485259.0000","36.8500","36.8500","35.9250"
"2017/05/10","37.0000","355721.0000","37.0000","37.2000","36.4500"
"2017/05/09","37.0500","657142.0000","36.4500","37.3500","36.4500"
"2017/05/08","36.4000","408231.0000","35.9500","37.1000","35.9500"
"2017/05/05","35.5000","289621.0000","35.6000","35.6000","34.9500"
"2017/05/04","35.4000","507778.0000","36.0500","36.2500","35.2500"
"2017/05/03","36.0000","894773.0000","36.9500","37.4500","35.8000"
"2017/05/02","37.7500","665613.0000","37.6000","38.1500","37.4500"
"2017/05/01","37.5500","601127.0000","37.1000","38.3500","36.7500"
"2017/04/28","36.9000","534074.0000","37.0500","37.2000","36.4500"
"2017/04/27","37.0000","1389055.0000","35.1500","37.8500","34.0000"
"2017/04/26","36.5000","527690.0000","36.3000","36.5500","36.0500"
"2017/04/25","36.1000","372820.0000","36.3000","36.6500","35.5000"
"2017/04/24","36.2000","345123.0000","36.6000","36.7500","36.0000"
"2017/04/21","36.1000","282051.0000","36.0000","36.3750","35.3000"
"2017/04/20","36.0000","391577.0000","36.2500","36.6500","35.8750"
"2017/04/19","36.0000","577832.0000","35.4500","36.2500","35.3500"
"2017/04/18","35.5000","372355.0000","35.6500","35.7250","35.2000"
"2017/04/17","35.8500","293983.0000","35.8500","36.2000","35.5250"
"2017/04/13","35.7500","656481.0000","36.8000","36.9000","35.6750"
"2017/04/12","36.9000","371798.0000","37.6500","37.6500","36.7000"
"2017/04/11","37.6500","403125.0000","37.3500","37.8000","37.0500"
"2017/04/10","37.5500","286218.0000","37.4500","37.8500","37.1500"
"2017/04/07","37.3500","408918.0000","37.4500","37.5750","37.1000"
"2017/04/06","37.5500","386699.0000","37.2500","37.6000","37.1000"
"2017/04/05","37.1500","488378.0000","37.5500","37.9500","37.0500"
"2017/04/04","37.4000","551980.0000","36.8000","37.6000","36.3500"
"2017/04/03","36.8500","282096.0000","37.0500","37.2500","36.4000"
"2017/03/31","37.1000","349423.0000","36.8500","37.4500","36.7000"
"2017/03/30","36.8500","424119.0000","36.9000","37.2500","36.6500"
"2017/03/29","36.9500","405589.0000","36.2500","37.3000","35.6000"
"2017/03/28","36.3500","187541.0000","36.0000","36.5500","35.7000"
"2017/03/27","36.2000","265453.0000","35.7000","36.5000","35.6500"
"2017/03/24","36.1500","318359.0000","36.3500","36.7000","35.9500"
"2017/03/23","36.2500","517241.0000","35.8500","36.6250","35.5500"
"2017/03/22","35.7500","339714.0000","35.7500","35.8500","35.4500"
"2017/03/21","35.8500","545077.0000","36.4000","36.4500","35.4500"
"2017/03/20","36.2000","450189.0000","36.4000","36.6000","36.0000"
"2017/03/17","36.5000","820789.0000","36.5500","36.7000","35.8500"
"2017/03/16","36.4500","393132.0000","36.9000","37.4500","36.2500"
"2017/03/15","36.7500","516123.0000","36.1500","37.1000","36.0000"
"2017/03/14","36.0500","303532.0000","36.5000","36.5000","35.5500"
"2017/03/13","36.1500","380221.0000","37.1000","37.2000","35.9250"
"2017/03/10","37.1000","376099.0000","36.8000","37.3000","36.6000"
"2017/03/09","36.5500","293709.0000","36.6000","36.8500","36.2500"
"2017/03/08","36.5500","392286.0000","36.1000","36.9000","35.9000"
"2017/03/07","36.1000","298369.0000","36.6000","36.7500","36.0000"
"2017/03/06","36.7500","491956.0000","36.6000","37.3000","36.3500"
"2017/03/03","37.1500","423495.0000","37.8500","38.2500","36.8750"
"2017/03/02","37.8000","618120.0000","38.2000","38.3000","37.1750"
"2017/03/01","38.1500","592510.0000","38.3000","38.7500","37.4500"
"2017/02/28","37.7000","863544.0000","40.4500","40.4500","37.5000"
"2017/02/27","40.5000","659305.0000","39.8000","40.5500","39.4000"
"2017/02/24","39.9000","708653.0000","38.7000","40.5000","38.2000"
"2017/02/23","38.8000","944289.0000","40.8500","41.3500","38.6250"
"2017/02/22","40.8500","1315667.0000","39.0000","41.0500","38.3000"
"2017/02/21","37.9000","1095610.0000","36.2000","38.1500","36.1250"
"2017/02/17","35.9500","607474.0000","36.0000","36.2500","35.5000"
"2017/02/16","35.9500","439908.0000","36.4000","37.1000","35.8500"
"2017/02/15","36.5000","552866.0000","35.9500","36.9000","35.7000"
"2017/02/14","36.0500","377177.0000","35.6500","36.1500","35.5500"
"2017/02/13","35.7000","305849.0000","36.3500","36.4000","35.5500"
"2017/02/10","36.2000","260970.0000","36.3500","36.6000","35.7500"
"2017/02/09","36.2000","355250.0000","35.2000","36.4500","35.2000"
"2017/02/08","35.2500","298071.0000","34.9500","35.3000","34.3500"
"2017/02/07","34.9000","206817.0000","35.0500","35.4000","34.6500"
"2017/02/06","34.9500","307610.0000","34.5500","35.1500","34.4500"
"2017/02/03","34.6500","238107.0000","34.6500","35.2500","34.5500"
"2017/02/02","34.5500","239259.0000","34.9000","35.2500","34.4500"
"2017/02/01","34.8500","323677.0000","35.4000","35.5500","34.3500"
"2017/01/31","35.2500","302420.0000","34.6000","35.4500","34.1500"
"2017/01/30","34.8000","323701.0000","34.5000","35.2000","34.0500"
"2017/01/27","34.5500","266077.0000","34.7500","34.9000","34.3500"
"2017/01/26","34.6000","462205.0000","34.5000","34.8500","34.3000"
"2017/01/25","34.6000","387329.0000","34.3000","35.0000","34.3000"
"2017/01/24","34.1000","364418.0000","33.9500","34.3500","33.9500"
"2017/01/23","33.8000","240699.0000","33.5000","34.1000","33.5000"
"2017/01/20","33.6000","269718.0000","33.4500","33.9000","33.3500"
"2017/01/19","33.4500","244730.0000","34.1500","34.6000","33.3500"
"2017/01/18","34.1500","360193.0000","33.9000","34.5000","33.6000"
"2017/01/17","33.9500","351782.0000","34.0000","34.8000","33.8500"
"2017/01/13","33.9000","179046.0000","33.8500","34.3000","33.6500"
"2017/01/12","33.6500","497776.0000","33.1500","34.0000","32.7000"
"2017/01/11","33.2000","330457.0000","34.0500","34.0500","32.8500"
"2017/01/10","33.9500","322914.0000","33.4500","34.3500","33.4000"
"2017/01/09","33.4000","308380.0000","33.4000","33.6250","33.1500"
"2017/01/06","33.4500","274078.0000","33.7500","33.7500","33.2007"
"2017/01/05","33.6000","344421.0000","34.2000","34.8000","33.3000"
"2017/01/04","34.5000","534581.0000","34.4500","34.9000","34.2500"
"2017/01/03","34.2500","222490.0000","34.5500","34.9000","34.0000"
"2016/12/30","34.3000","340543.0000","34.3500","34.3500","33.8250"
"2016/12/29","34.2000","298761.0000","34.3000","34.8000","33.9000"
"2016/12/28","34.2000","142907.0000","34.7500","35.0500","34.1500"
"2016/12/27","34.6000","192026.0000","34.1000","35.0000","34.1000"
"2016/12/23","34.1500","254167.0000","34.5000","34.7500","33.9250"
"2016/12/22","34.6000","386619.0000","36.1500","36.1500","34.2000"
"2016/12/21","36.3000","203169.0000","36.7000","36.9500","36.2500"
"2016/12/20","36.6500","416493.0000","36.5000","37.0000","35.9000"
"2016/12/19","36.1000","526066.0000","35.7500","36.6500","35.7500"
"2016/12/16","35.6000","1287870.0000","36.1000","36.2500","35.4500"
"2016/12/15","35.9500","391592.0000","36.1500","36.2500","35.3500"
"2016/12/14","36.1500","441769.0000","36.4000","36.6500","36.0000"
"2016/12/13","36.3000","502868.0000","36.2000","36.5000","36.0000"
"2016/12/12","35.9000","422554.0000","36.6000","36.9000","35.8000"
"2016/12/09","36.7500","331996.0000","36.8000","37.0000","36.2000"
"2016/12/08","36.8000","816404.0000","35.9500","36.9250","35.6000"
"2016/12/07","35.8500","791314.0000","35.7500","36.6500","35.4000"
"2016/12/06","35.9000","612347.0000","36.3000","36.4500","35.5000"
"2016/12/05","36.1000","754147.0000","36.9500","37.1500","35.9500"
"2016/12/02","36.9500","289784.0000","37.6500","37.8500","36.9000"
"2016/12/01","37.5000","537819.0000","38.1500","39.0000","37.3000"
"2016/11/30","38.1000","1525324.0000","39.5500","39.5500","37.7500"
"2016/11/29","39.4000","506307.0000","40.0000","40.1500","38.4500"
"2016/11/28","40.8000","327095.0000","40.4500","40.9500","39.7500"
"2016/11/25","40.5500","107040.0000","40.3000","40.8000","40.2000"
"2016/11/23","40.4000","266046.0000","40.2000","40.4500","39.6000"
"2016/11/22","40.2500","343671.0000","39.6500","40.4000","39.2500"
"2016/11/21","39.4500","215516.0000","39.4500","39.7500","39.0500"
"2016/11/18","39.1500","415239.0000","38.6000","39.6500","38.3500"
"2016/11/17","38.7500","506150.0000","39.0500","39.7500","38.3500"
"2016/11/16","38.8500","273010.0000","39.0000","39.4500","38.8000"
"2016/11/15","39.0500","543057.0000","39.3500","39.7500","38.8500"
"2016/11/14","39.5500","555684.0000","38.3000","40.2000","38.3000"
"2016/11/11","37.9000","497068.0000","37.0500","38.1500","36.5000"
"2016/11/10","37.0000","495898.0000","37.1000","38.5000","36.8000"
"2016/11/09","36.6500","1076468.0000","33.3000","36.7000","32.4500"
"2016/11/08","33.7000","1859953.0000","30.7500","34.5500","30.7500"
"2016/11/07","31.2500","1774178.0000","31.5000","33.8000","31.1000"
"2016/11/04","36.0000","732579.0000","36.7000","37.6000","35.9000"
"2016/11/03","36.5000","291650.0000","36.7000","37.8000","36.4500"
"2016/11/02","36.7500","355069.0000","36.9000","37.3500","36.3000"
"2016/11/01","36.8000","450758.0000","37.4500","38.0000","36.6000"
"2016/10/31","37.7000","394671.0000","37.4000","37.7750","36.8000"
"2016/10/28","37.2000","304581.0000","37.0500","37.6500","36.9500"
"2016/10/27","37.1500","343837.0000","37.6000","37.6000","36.8500"
"2016/10/26","37.5500","219438.0000","38.1000","38.3500","37.5000"
"2016/10/25","38.2000","382613.0000","37.9500","38.3000","37.2000"
"2016/10/24","38.1000","187556.0000","38.1500","38.5500","37.5500"
"2016/10/21","37.9000","191393.0000","37.8500","38.2750","37.7000"
"2016/10/20","38.1000","199239.0000","38.4500","38.8000","37.9500"
"2016/10/19","38.3000","167275.0000","38.2500","38.4000","37.7000"
"2016/10/18","38.0500","140015.0000","38.1500","38.5000","38.0000"
"2016/10/17","38.0000","160775.0000","38.2000","38.2500","37.7000"
"2016/10/14","38.1200","206024.0000","38.3800","38.3800","37.9200"
"2016/10/13","38.1800","281192.0000","38.1600","38.3800","37.8100"
"2016/10/12","38.7100","307735.0000","38.3800","38.9200","38.0100"
"2016/10/11","38.2600","344768.0000","38.8600","39.2600","37.9800"
"2016/10/10","38.9700","402881.0000","37.6800","39.1200","37.6700"
"2016/10/07","39.7400","351832.0000","39.3100","39.9400","39.1200"
"2016/10/06","39.3700","462295.0000","37.8200","39.4800","37.8200"
"2016/10/05","40.1300","296531.0000","39.9800","40.4200","39.8100"
"2016/10/04","39.7800","150151.0000","39.5000","39.9700","39.3300"
"2016/10/03","39.3700","273983.0000","39.7500","39.9500","39.2699"
"2016/09/30","39.8000","306295.0000","39.2100","39.9800","39.0700"
"2016/09/29","39.2000","254515.0000","39.2200","39.6200","38.9900"
"2016/09/28","39.2500","190802.0000","39.3500","39.3500","38.7400"
"2016/09/27","39.2400","206410.0000","39.1600","39.5104","39.0650"
"2016/09/26","39.1000","174074.0000","39.6700","39.9300","39.0200"
"2016/09/23","39.8400","269375.0000","39.6800","40.1500","39.6800"
"2016/09/22","39.6000","397791.0000","38.5100","39.6700","38.4600"
"2016/09/21","38.5300","391515.0000","38.4400","38.8900","38.2300"
"2016/09/20","38.1200","940152.0000","39.1600","39.8250","37.3400"
"2016/09/19","40.5000","241691.0000","40.1100","41.0700","40.0800"
"2016/09/16","39.9700","609500.0000","41.1600","41.1600","39.9100"
"2016/09/15","41.2100","215437.0000","40.4600","41.2500","40.1600"
"2016/09/14","40.8300","313598.0000","40.9100","41.5000","40.3000"
"2016/09/13","41.0000","300296.0000","40.9600","41.1700","40.7100"
"2016/09/12","41.4300","243985.0000","40.7200","41.5500","40.7200"
"2016/09/09","40.7900","485282.0000","40.7900","41.0100","40.3800"
"2016/09/08","40.7100","732041.0000","41.8000","42.0600","40.4800"
"2016/09/07","42.0000","310114.0000","41.7500","42.1750","41.3900"
"2016/09/06","41.9100","264767.0000","42.1400","42.2650","41.6100"
"2016/09/02","42.2300","429426.0000","41.8900","42.3800","41.7200"
"2016/09/01","41.9600","458579.0000","41.6600","42.0300","41.4300"
"2016/08/31","41.7800","521749.0000","42.3200","42.7600","41.5600"
"2016/08/30","42.2400","325842.0000","42.4100","43.1700","42.0700"
"2016/08/29","42.5700","299149.0000","42.6500","43.0000","42.4700"
"2016/08/26","42.5200","220397.0000","42.8700","43.9300","42.0700"
"2016/08/25","42.8500","153394.0000","43.1700","44.0000","42.7600"
"2016/08/24","43.3200","388774.0000","43.3700","43.5850","43.2300"
"2016/08/23","43.4400","172488.0000","43.3800","43.9400","43.3650"
"2016/08/22","43.3600","429135.0000","43.2500","43.6100","42.9400"
"2016/08/19","43.5200","358076.0000","43.9700","44.2400","43.2900"
"2016/08/18","43.9800","571889.0000","43.8000","44.1300","43.4200"
"2016/08/17","43.5800","490409.0000","44.1700","46.2600","43.0600"
"2016/08/16","44.2800","311152.0000","45.2500","45.2500","44.2500"
"2016/08/15","45.5200","216893.0000","45.7200","46.3600","45.4300"
"2016/08/12","45.5000","329620.0000","45.1600","45.5100","44.7600"
"2016/08/11","45.2300","363991.0000","44.8100","46.1600","44.8100"
"2016/08/10","44.6200","503510.0000","45.4300","45.7300","44.4200"
"2016/08/09","45.3200","640451.0000","45.6600","45.7150","44.9900"
"2016/08/08","45.6400","660306.0000","44.8800","45.8800","44.6800"
"2016/08/05","44.7500","2007286.0000","46.6300","47.4500","43.6705"
"2016/08/04","47.1000","1551097.0000","51.5000","52.5900","45.7500"
"2016/08/03","52.3300","438302.0000","50.7500","52.8100","50.2900"
"2016/08/02","50.9600","393008.0000","52.1800","52.1800","50.2500"
"2016/08/01","52.1900","223026.0000","51.3600","52.3200","50.8800"
"2016/07/29","51.1600","303167.0000","51.3300","51.3600","50.6900"
"2016/07/28","51.3300","104221.0000","50.8700","51.4624","50.5000"
"2016/07/27","50.8100","134107.0000","51.2100","51.6000","50.7800"
"2016/07/26","51.2000","190504.0000","51.2300","51.6350","50.8500"
"2016/07/25","51.2000","200831.0000","51.8400","52.1500","51.0100"
"2016/07/22","52.2100","91849.0000","51.2600","52.2800","51.0000"
"2016/07/21","51.2800","101863.0000","51.2300","52.0800","51.0500"
"2016/07/20","51.4600","231397.0000","51.1400","51.9199","50.9900"
"2016/07/19","51.1000","142547.0000","51.5800","51.7700","50.8900"
"2016/07/18","51.6600","137229.0000","51.2500","52.4600","51.2500"
"2016/07/15","51.5100","214057.0000","52.0900","52.1300","51.1300"
"2016/07/14","51.6900","502330.0000","51.6100","52.1097","51.4200"
"2016/07/13","51.2800","403722.0000","53.3500","53.6300","50.8801"
"2016/07/12","52.9900","418593.0000","53.1900","54.0300","52.7000"
"2016/07/11","52.8500","256306.0000","51.4500","52.9500","51.2800"
"2016/07/08","51.3900","370524.0000","50.2600","51.6000","49.0850"
"2016/07/07","49.7600","171969.0000","49.4300","50.0400","49.2800"
"2016/07/06","49.3500","126815.0000","48.4700","49.4100","48.2700"
"2016/07/05","48.7700","225753.0000","48.6600","48.9100","47.8100"
