# from http://www.nasdaq.com/symbol/ibm/historical
"date","close","volume","open","high","low"
"15:05","153.92","2,449,672","155.73","155.89","153.82"
"2017/07/03","155.5800","2822651.0000","153.5800","156.0250","153.5200"
"2017/06/30","153.8300","3571536.0000","154.2800","154.5000","153.1400"
"2017/06/29","154.1300","3261684.0000","155.3500","155.7400","153.6200"
"2017/06/28","155.3200","2214240.0000","155.1500","155.5500","154.7800"
"2017/06/27","154.7500","2386491.0000","155.0000","155.3400","154.5000"
"2017/06/26","155.2300","2152542.0000","154.7100","155.7500","154.6300"
"2017/06/23","154.1100","3282201.0000","154.3400","154.6800","153.8000"
"2017/06/22","154.4000","2376471.0000","154.5500","154.9900","153.6900"
"2017/06/21","153.7900","3958819.0000","155.7900","155.7900","153.3900"
"2017/06/20","154.9500","4479369.0000","154.4800","155.3890","154.2500"
"2017/06/19","154.8400","4536193.0000","155.5100","155.8600","154.5400"
"2017/06/16","155.3800","6373354.0000","154.2300","155.4200","152.9676"
"2017/06/15","154.2200","4651727.0000","153.2900","154.6900","153.2900"
"2017/06/14","153.8100","3043704.0000","153.9700","154.9399","152.9400"
"2017/06/13","154.2500","3523529.0000","155.4400","155.4800","154.1500"
"2017/06/12","155.1800","6461729.0000","154.1900","157.2000","154.0200"
"2017/06/09","154.1000","4356544.0000","152.0000","154.2650","151.8800"
"2017/06/08","152.1000","3693150.0000","151.0000","152.8200","150.9200"
"2017/06/07","150.9800","4859095.0000","153.0500","154.2000","150.8000"
"2017/06/06","152.3700","3797173.0000","152.0000","152.8900","152.0000"
"2017/06/05","152.4100","3975068.0000","151.8200","152.9300","151.6826"
"2017/06/02","152.0500","3581773.0000","153.0700","153.2000","151.8000"
"2017/06/01","152.6700","2918122.0000","152.8000","152.8700","151.6300"
"2017/05/31","152.6300","3541249.0000","152.0300","152.8000","151.6500"
"2017/05/30","151.7300","3665972.0000","151.9500","152.6700","151.5900"
"2017/05/26","152.4900","2443298.0000","152.8500","153.0000","152.0600"
"2017/05/25","153.2000","2581674.0000","153.2500","153.7300","152.9459"
"2017/05/24","152.5100","3732394.0000","152.2100","152.7600","151.2300"
"2017/05/23","152.0300","2564503.0000","152.5700","153.6800","151.9200"
"2017/05/22","152.6400","3302089.0000","152.1000","152.8400","151.5992"
"2017/05/19","151.9800","5622348.0000","151.0100","152.4600","150.8900"
"2017/05/18","150.7800","3273575.0000","150.8600","151.3300","150.1100"
"2017/05/17","150.9300","5189187.0000","153.3000","154.1400","150.8900"
"2017/05/16","153.6800","5510363.0000","151.6600","153.9900","151.6600"
"2017/05/15","151.5100","4228909.0000","150.6200","151.8300","150.4502"
"2017/05/12","150.3700","3715292.0000","150.3000","151.2650","150.0000"
"2017/05/11","150.6500","5624852.0000","151.0500","151.1500","149.7900"
"2017/05/10","151.2500","4996776.0000","151.6510","152.3700","151.1300"
"2017/05/09","152.1100","6851286.0000","152.6000","153.1000","151.5552"
"2017/05/08","153.0300","7490980.0000","152.8000","153.4700","152.2000"
"2017/05/05","155.0500","12513610.0000","153.5200","155.7800","153.0000"
"2017/05/04","159.0500","4278599.0000","158.8900","159.1400","158.3600"
"2017/05/03","158.6300","3993234.0000","158.7400","159.4500","158.5200"
"2017/05/02","159.1000","3150934.0000","159.4400","159.4900","158.6400"
"2017/05/01","158.8400","4931407.0000","160.0500","160.4200","158.7000"
"2017/04/28","160.2900","4153700.0000","160.5000","160.5900","159.7000"
"2017/04/27","160.3200","4122568.0000","160.2900","160.4800","159.6300"
"2017/04/26","160.0600","4325281.0000","160.5300","161.1000","159.8900"
"2017/04/25","160.3900","4857061.0000","161.7800","162.0400","160.3800"
"2017/04/24","160.7500","5175505.0000","161.2900","161.5700","160.4200"
"2017/04/21","160.3800","5600467.0000","162.0500","162.1100","160.3800"
"2017/04/20","162.3000","6486767.0000","161.3200","162.4000","160.5000"
"2017/04/19","161.6900","19282530.0000","161.7600","162.6400","159.6000"
"2017/04/18","170.0500","6004750.0000","170.7900","171.6900","169.8300"
"2017/04/17","171.1000","3719276.0000","169.7500","171.3000","169.6200"
"2017/04/13","169.5300","3203765.0000","169.9200","171.3600","169.5300"
"2017/04/12","170.6600","3276921.0000","171.0400","171.2000","170.0200"
"2017/04/11","170.5800","4890161.0000","170.6500","171.2300","168.9800"
"2017/04/10","171.2000","3789677.0000","172.5300","172.5600","171.0000"
"2017/04/07","172.1400","3588300.0000","172.0800","172.9300","171.2800"
"2017/04/06","172.4500","3435303.0000","173.4700","173.4700","172.2500"
"2017/04/05","172.8800","6237613.0000","174.7000","176.3300","172.8100"
"2017/04/04","174.5200","3108655.0000","173.5200","174.9600","173.2600"
"2017/04/03","174.5000","4286497.0000","173.8200","174.8700","173.3800"
"2017/03/31","174.1400","2913386.0000","173.9800","174.9500","173.6900"
"2017/03/30","173.8600","3168198.0000","173.8600","174.5900","173.6900"
"2017/03/29","173.9400","3083063.0000","174.3000","174.4900","173.4600"
"2017/03/28","174.5100","3523345.0000","173.9400","175.0000","173.0000"
"2017/03/27","173.7700","3259022.0000","172.6900","174.1600","172.0937"
"2017/03/24","173.8300","3221645.0000","175.1200","175.5000","173.3900"
"2017/03/23","174.8200","3737732.0000","174.4300","175.6700","173.5600"
"2017/03/22","174.7800","3448947.0000","174.0400","175.0600","172.8000"
"2017/03/21","173.8800","3927626.0000","176.0100","176.2300","173.8400"
"2017/03/20","175.7000","2475875.0000","175.6500","176.1800","175.1400"
"2017/03/17","175.6500","5916099.0000","176.2900","176.7900","175.6500"
"2017/03/16","177.2400","4311734.0000","178.4600","179.0000","176.8200"
"2017/03/15","175.8100","3810410.0000","175.7100","176.2800","174.7500"
"2017/03/14","175.7200","3147484.0000","176.1800","176.8200","175.2110"
"2017/03/13","176.4600","3481898.0000","177.8500","178.0600","176.4150"
